year,category,number
2005,Buses,13494
2005,Goods and Other Vehicles,139098
2005,Motorcycles and Scooters,139434
2006,Buses,14120
2006,Goods and Other Vehicles,144466
2006,Motorcycles and Scooters,142736
2007,Buses,14530
2007,Goods and Other Vehicles,150979
2007,Motorcycles and Scooters,144340
2008,Buses,15327
2008,Goods and Other Vehicles,156089
2008,Motorcycles and Scooters,146120
2009,Buses,16023
2009,Goods and Other Vehicles,158207
2009,Motorcycles and Scooters,147215
2010,Buses,16309
2010,Goods and Other Vehicles,157541
2010,Motorcycles and Scooters,148160
2011,Buses,17046
2011,Goods and Other Vehicles,159768
2011,Motorcycles and Scooters,146559
2012,Buses,17162
2012,Goods and Other Vehicles,160417
2012,Motorcycles and Scooters,144110
2013,Buses,17509
2013,Goods and Other Vehicles,160344
2013,Motorcycles and Scooters,144934
2014,Buses,17554
2014,Goods and Other Vehicles,161698
2014,Motorcycles and Scooters,145026
2015,Buses,18183
2015,Goods and Other Vehicles,162182
2015,Motorcycles and Scooters,143900
2016,Buses,18804
2016,Goods and Other Vehicles,163277
2016,Motorcycles and Scooters,143052
2017,Buses,19285
2017,Goods and Other Vehicles,162712
2017,Motorcycles and Scooters,141916
2018,Buses,19379
2018,Goods and Other Vehicles,161511
2018,Motorcycles and Scooters,137480
2019,Buses,19661
2019,Goods and Other Vehicles,161326
2019,Motorcycles and Scooters,140891
2020,Buses,19251
2020,Goods and Other Vehicles,161478
2020,Motorcycles and Scooters,141403
2005,Cars and Station-wagons,462966
2006,Cars and Station-wagons,498051
2007,Cars and Station-wagons,541487
2008,Cars and Station-wagons,577146
2009,Cars and Station-wagons,604073
2010,Cars and Station-wagons,623819
2011,Cars and Station-wagons,633331
2012,Cars and Station-wagons,648221
2013,Cars and Station-wagons,651383
2014,Cars and Station-wagons,647759
2015,Cars and Station-wagons,632981
2016,Cars and Station-wagons,631297
2017,Cars and Station-wagons,637929
2018,Cars and Station-wagons,638636
2019,Cars and Station-wagons,651223
2020,Cars and Station-wagons,651858
